route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_type,trip_footnote
61,hjum2501-Weekday-1-JU2025-1111100,4162020,"Providence",0,454482,610016,0,
61,hjum2501-Weekday-1-JU2025-1111100,4162021,"Tiverton",1,454476,610015,0,
64,hjum2501-Weekday-1-JU2025-1111100,4162022,"Kingston Station",1,458138,640077,0,
64,hjum2501-Weekday-1-JU2025-1111100,4162023,"Newport via Naval Center (Limited Stops)",0,454474,640084,0,
64,hjum2501-Weekday-1-JU2025-1111100,4162024,"Kingston Station",1,458147,640080,0,
64,hjum2501-Weekday-1-JU2025-1111100,4162025,"Newport",0,458137,640079,0,
64,hjum2501-Weekday-1-JU2025-1111100,4162026,"Kingston Station",1,458137,640077,0,
64,hjum2501-Weekday-1-JU2025-1111100,4162027,"Newport",0,458150,640079,0,
64,hjum2501-Weekday-1-JU2025-1111100,4162028,"Kingston Station",1,458150,640080,0,
64,hjum2501-Weekday-1-JU2025-1111100,4162029,"Newport",0,458138,640079,0,
64,hjum2501-Weekday-1-JU2025-1111100,4162030,"Newport",0,454473,640079,0,
64,hjum2501-Weekday-1-JU2025-1111100,4162031,"Kingston Station",1,454473,640077,0,
64,hjum2501-Weekday-1-JU2025-1111100,4162032,"Newport",0,454473,640079,0,
64,hjum2501-Weekday-1-JU2025-1111100,4162033,"Newport via Naval Center",0,454473,640081,0,
64,hjum2501-Weekday-1-JU2025-1111100,4162034,"Newport",0,454474,640079,0,
64,hjum2501-Weekday-1-JU2025-1111100,4162035,"Kingston Station",1,454473,640077,0,
64,hjum2501-Weekday-1-JU2025-1111100,4162036,"Kingston Station",1,454474,640077,0,
64,hjum2501-Weekday-1-JU2025-1111100,4162037,"Newport",0,454474,640079,0,
64,hjum2501-Weekday-1-JU2025-1111100,4162038,"Kingston Station",1,454474,640077,0,
64,hjum2501-Weekday-1-JU2025-1111100,4162039,"Kingston Station",1,454475,640077,0,
61,hjum2501-Weekday-1-JU2025-1111100,4162040,"Providence",0,454476,610012,0,
24,hjum2501-Weekday-1-JU2025-1111100,4162041,"Providence",0,454477,240019,0,
24,hjum2501-Weekday-1-JU2025-1111100,4162042,"Providence",0,454478,240019,0,
24,hjum2501-Weekday-1-JU2025-1111100,4162043,"Providence",0,454479,240019,0,
24,hjum2501-Weekday-1-JU2025-1111100,4162044,"Newport",1,454477,240021,0,
24,hjum2501-Weekday-1-JU2025-1111100,4162045,"Newport",1,454478,240021,0,
24,hjum2501-Weekday-1-JU2025-1111100,4162046,"Newport",1,454479,240021,0,
14,hjum2501-Weekday-1-JU2025-1111100,4162051,"Narragansett",1,454510,140095,0,
14,hjum2501-Weekday-1-JU2025-1111100,4162052,"Newport via Jamestown",1,458139,140089,0,
14,hjum2501-Weekday-1-JU2025-1111100,4162053,"Providence",0,454510,140094,0,
14,hjum2501-Weekday-1-JU2025-1111100,4162054,"Providence via Jamestown",0,458139,140096,0,
