service_id,date,exception_type
hjun2506-Saturday-2-JU2025-0000010,20250809,1
hjun2506-Saturday-2-JU2025-0000010,20250816,1
hjun2507-Sunday-2-JU2025-0000001,20250622,1
hjun2507-Sunday-2-JU2025-0000001,20250629,1
hjun2507-Sunday-2-JU2025-0000001,20250704,1
hjun2507-Sunday-2-JU2025-0000001,20250706,1
hjun2507-Sunday-2-JU2025-0000001,20250713,1
hjun2507-Sunday-2-JU2025-0000001,20250720,1
hjun2507-Sunday-2-JU2025-0000001,20250727,1
hjun2507-Sunday-2-JU2025-0000001,20250803,1
hjun2507-Sunday-2-JU2025-0000001,20250810,1
hjun2507-Sunday-2-JU2025-0000001,20250811,1
hjun2507-Sunday-2-JU2025-0000001,20250817,1
hjut2501-Weekday-1-JU2025-0001000,20250626,1
hjut2501-Weekday-1-JU2025-0001000,20250703,1
hjut2501-Weekday-1-JU2025-0001000,20250710,1
hjut2501-Weekday-1-JU2025-0001000,20250717,1
hjut2501-Weekday-1-JU2025-0001000,20250724,1
hjut2501-Weekday-1-JU2025-0001000,20250731,1
hjut2501-Weekday-1-JU2025-0001000,20250807,1
hjut2501-Weekday-1-JU2025-0001000,20250814,1
hjut2501-Weekday-1-JU2025-0001000,20250821,1
